id 	longitude	latitude date	           time 	SST
0202	110.4318	17.8814	2017-06-06	15:00:06	30.7251
0202	110.4455	17.8962	2017-06-06	17:00:07	30.6826
0202	110.4551	17.8982	2017-06-06	18:00:07	30.6173
0202	110.4639	17.8993	2017-06-06	19:00:07	30.558
0202	110.4726	17.8989	2017-06-06	20:00:08	30.4741
0202	110.4434	17.9482	2017-06-07	16:00:05	30.3388
0202	110.4455	17.9548	2017-06-07	17:00:05	30.3458
0202	110.4501	17.9593	2017-06-07	18:00:06	30.3503
0202	110.4545	17.9622	2017-06-07	19:00:10	30.2532
0202	110.458	        17.9645	2017-06-07	20:00:06	30.2486
0202	110.4626	17.9661	2017-06-07	21:00:05	30.2258
0202	110.4679	17.9655	2017-06-07	22:00:05	30.1822
0202	110.4708	17.9625	2017-06-07	23:00:05	30.1478
0202	110.4721	17.96	2017-06-08	00:00:06	30.1313
0202	110.4697	17.9583	2017-06-08	01:00:06	30.1223
0202	110.4658	17.9585	2017-06-08	02:00:06	30.0833
0202	110.4608	17.961	2017-06-08	03:00:07	30.0646
0202	110.3079	18.0901	2017-06-09	11:00:05	30.0028
0202	110.3065	18.1008	2017-06-09	12:00:05	30.0427
0202	110.3077	18.1115	2017-06-09	13:00:06	30.1102
0202	110.312	        18.1211	2017-06-09	14:00:06	30.1758
0202	110.3185	18.1315	2017-06-09	15:00:06	30.1323
0202	110.3277	18.1415	2017-06-09	16:00:06	30.1192
0202	110.3387	18.151	2017-06-09	17:00:06	30.0727
0202	110.3499	18.1598	2017-06-09	18:00:06	30.093
0202	110.3612	18.1681	2017-06-09	19:00:07	30.0782
0202	110.3712	18.1765	2017-06-09	20:00:07	30.0802
0202	110.3814	18.1842	2017-06-09	21:00:07	30.0714
0202	110.3919	18.1908	2017-06-09	22:00:07	30.0613
0202	110.4015	18.1968	2017-06-09	23:00:07	30.0445
0202	110.4114	18.202	2017-06-10	00:00:07	30.032
0202	110.4211	18.2062	2017-06-10	01:00:08	30.0254
0202	110.4301	18.2121	2017-06-10	02:00:08	29.9912
0202	110.4387	18.2175	2017-06-10	03:00:08	29.9788
0202	110.4468	18.2217	2017-06-10	04:00:08	29.9464
0202	110.4538	18.223	2017-06-10	05:00:08	29.9485
0202	110.4596	18.2228	2017-06-10	06:00:08	29.9237
0202	110.4617	18.2251	2017-06-10	07:00:09	29.9247
0202	110.4631	18.228	2017-06-10	08:00:09	29.9223
0202	110.4648	18.2312	2017-06-10	09:00:09	29.9634
0202	110.4664	18.2354	2017-06-10	10:00:09	30.0575
0202	110.4692	18.2398	2017-06-10	11:00:09	30.1267
0202	110.4748	18.2435	2017-06-10	12:00:09	30.2948
0202	110.4821	18.2461	2017-06-10	13:00:10	30.5388
0202	110.4908	18.2492	2017-06-10	14:00:06	30.7677
0202	110.5004	18.2527	2017-06-10	15:00:10	30.9505
0202	110.5115	18.255	2017-06-10	16:00:10	31.0627
0202	110.5229	18.2568	2017-06-10	17:00:06	30.9352
0202	110.5333	18.2592	2017-06-10	18:00:05	30.7221
0202	110.5439	18.2623	2017-06-10	19:00:05	30.5988
0202	110.5544	18.2664	2017-06-10	20:00:05	30.3941
0202	110.563	        18.273	2017-06-10	21:00:05	30.288
0202	110.5723	18.2796	2017-06-10	22:00:07	30.2533
0202	110.5817	18.2854	2017-06-10	23:00:06	30.201
0202	110.5914	18.291	2017-06-11	00:00:06	30.1668
0202	110.6006	18.2965	2017-06-11	01:00:06	30.1502
0202	110.6104	18.301	2017-06-11	02:00:06	30.1087
0202	110.619	        18.3044	2017-06-11	03:00:06	30.0956
