id 	longitude	latitude date	           time 	SST
0205	118.2561	21.0753	2017-07-14	12:00:07	34.8519
0205	118.2401	21.1021	2017-07-14	13:00:05	35.8406
0205	118.2296	21.1283	2017-07-14	14:00:08	37.2642
0205	118.2247	21.1459	2017-07-14	15:00:07	30.6291
0205	118.2248	21.1586	2017-07-14	16:00:05	30.6354
0205	118.2208	21.1702	2017-07-14	17:00:10	30.6294
0205	118.2081	21.1855	2017-07-14	18:00:05	30.5958
0205	118.1861	21.2084	2017-07-14	19:00:05	30.5723
0205	118.1708	21.233	2017-07-14	20:00:05	30.5565
0205	118.1566	21.2576	2017-07-14	21:00:07	30.551
0205	118.1464	21.2816	2017-07-14	22:00:12	30.5219
0205	118.142 	21.3058	2017-07-14	23:00:06	30.5192
0205	118.138 	21.3256	2017-07-15	00:00:06	30.5193
0205	118.1266	21.3588	2017-07-15	02:00:07	30.4757
0205	118.1104	21.3927	2017-07-15	04:00:07	30.4714
0205	118.1014	21.4151	2017-07-15	05:00:09	30.4408
0205	118.0858	21.4428	2017-07-15	06:00:08	30.4563
0205	118.0807	21.4712	2017-07-15	07:00:07	30.4364
0205	118.0813	21.5041	2017-07-15	08:00:08	30.3991
0205	118.0846	21.5345	2017-07-15	09:00:07	30.3932
0205	118.0902	21.5614	2017-07-15	10:00:07	30.3767
0205	118.097 	21.5845	2017-07-15	11:00:10	30.3553
0205	118.1031	21.6046	2017-07-15	12:00:06	30.3869
0205	118.1121	21.6264	2017-07-15	13:00:06	30.3953
0205	118.1262	21.6475	2017-07-15	14:00:05	30.369
0205	118.1445	21.6678	2017-07-15	15:00:13	30.3568
0205	118.1623	21.6816	2017-07-15	16:00:08	30.353
0205	118.1788	21.6886	2017-07-15	17:00:07	30.3415
0205	118.1945	21.694	2017-07-15	18:00:05	30.3356
0205	118.2098	21.6983	2017-07-15	19:00:07	30.3279
0205	118.2229	21.7057	2017-07-15	20:00:08	30.3023
0205	118.2305	21.7169	2017-07-15	21:00:07	30.3171
0205	118.2329	21.737	2017-07-15	22:00:08	30.3082
0205	118.2413	21.7526	2017-07-15	23:00:07	30.2905
0205	118.2498	21.7702	2017-07-16	00:00:08	30.2962
0205	118.2537	21.7809	2017-07-16	01:00:11	30.2854
0205	118.2554	21.7908	2017-07-16	02:00:07	30.2719
0205	118.2545	21.8008	2017-07-16	03:00:10	30.2716
0205	118.2559	21.815	2017-07-16	04:00:07	30.2545
0205	118.2597	21.8291	2017-07-16	05:00:06	30.2335
0205	118.2638	21.8402	2017-07-16	06:00:22	30.2226
