id longitude latitude date time sst
0203 110.9282 18.6681 2017-06-10 05:00:05 29.9051
0202 110.4538 18.2230 2017-06-10 05:00:08 29.9485
0201 110.2735 17.9859 2017-06-10 05:00:08 28.8549
0203 110.9302 18.6749 2017-06-10 06:00:05 29.9046
0202 110.4596 18.2228 2017-06-10 06:00:08 29.9237
0201 110.2710 17.9855 2017-06-10 06:00:05 28.7939
0203 110.9323 18.6827 2017-06-10 07:00:06 29.8895
0202 110.4617 18.2251 2017-06-10 07:00:09 29.9247
0201 110.2679 17.9842 2017-06-10 07:00:05 29.8482
0203 110.9339 18.6908 2017-06-10 08:00:06 29.8956
0202 110.4631 18.2280 2017-06-10 08:00:09 29.9223
0201 110.2633 17.9813 2017-06-10 08:00:06 29.8751
0203 110.9350 18.6989 2017-06-10 09:00:07 29.9173
0202 110.4648 18.2312 2017-06-10 09:00:09 29.9634
0201 110.2569 17.9784 2017-06-10 09:00:06 29.9054
0203 110.9362 18.7069 2017-06-10 10:00:09 29.9815
0202 110.4664 18.2354 2017-06-10 10:00:09 30.0575
0201 110.2506 17.9756 2017-06-10 10:00:06 29.9534
0203 110.9384 18.7148 2017-06-10 11:00:07 30.0732
0202 110.4692 18.2398 2017-06-10 11:00:09 30.1267
0201 110.2428 17.9752 2017-06-10 11:00:08 30.0646
0203 110.9399 18.7226 2017-06-10 12:00:08 30.1638
0202 110.4748 18.2435 2017-06-10 12:00:09 30.2948
0201 110.2351 17.9778 2017-06-10 12:00:05 30.2205
0203 110.9423 18.7297 2017-06-10 13:00:08 30.3571
0202 110.4821 18.2461 2017-06-10 13:00:10 30.5388
0201 110.2304 17.9804 2017-06-10 13:00:05 30.4672
0203 110.9476 18.7355 2017-06-10 14:00:08 30.5573
0202 110.4908 18.2492 2017-06-10 14:00:06 30.7677
0201 110.2286 17.9818 2017-06-10 14:00:06 30.6972
0203 110.9527 18.7423 2017-06-10 15:00:09 30.6525
0202 110.5004 18.2527 2017-06-10 15:00:10 30.9505
0201 110.2256 17.9847 2017-06-10 15:00:06 30.7644
0203 110.9554 18.7529 2017-06-10 16:00:09 30.7579
0202 110.5115 18.2550 2017-06-10 16:00:10 31.0627
0201 110.2252 17.9887 2017-06-10 16:00:06 30.7515
0203 110.9585 18.7645 2017-06-10 17:00:09 30.7698
0202 110.5229 18.2568 2017-06-10 17:00:06 30.9352
0201 110.2268 17.9943 2017-06-10 17:00:07 30.9692
0202 110.5333 18.2592 2017-06-10 18:00:05 30.7221
0201 110.2304 18.0000 2017-06-10 18:00:07 30.9005
0202 110.5439 18.2623 2017-06-10 19:00:05 30.5988
0201 110.2339 18.0066 2017-06-10 19:00:08 30.7753
0203 110.9657 18.7972 2017-06-10 20:00:12 30.4465
0202 110.5544 18.2664 2017-06-10 20:00:05 30.3941
0201 110.2374 18.0134 2017-06-10 20:00:08 30.6092
0203 110.9654 18.8083 2017-06-10 21:00:05 30.3845
0202 110.5630 18.2730 2017-06-10 21:00:05 30.2880
0201 110.2424 18.0198 2017-06-10 21:00:08 30.4930
0203 110.9656 18.8189 2017-06-10 22:00:05 30.3316
0202 110.5723 18.2796 2017-06-10 22:00:07 30.2533
0201 110.2478 18.0255 2017-06-10 22:00:06 30.3935
0203 110.9666 18.8279 2017-06-10 23:00:06 30.2722
0202 110.5817 18.2854 2017-06-10 23:00:06 30.2010
0201 110.2528 18.0301 2017-06-10 23:00:05 30.2850
0203 110.9683 18.8354 2017-06-11 00:00:06 30.2379
0202 110.5914 18.2910 2017-06-11 00:00:06 30.1668
0201 110.2567 18.0349 2017-06-11 00:00:10 30.2567
0203 110.9701 18.8407 2017-06-11 01:00:06 30.1813
0202 110.6006 18.2965 2017-06-11 01:00:06 30.1502
0201 110.2589 18.0417 2017-06-11 01:00:06 30.1991
